feature_a,feature_b,correlation
flow_iat.tot,flow_duration,0.9999999788564704
flow_pkts_per_sec,bwd_pkts_per_sec,0.9999965540199766
flow_pkts_per_sec,fwd_pkts_per_sec,0.9999965533323213
bwd_pkts_per_sec,fwd_pkts_per_sec,0.9999862147284417
bwd_bulk_packets,bwd_bulk_bytes,0.9998022574354601
idle.max,flow_iat.max,0.9997475861370294
flow_iat.tot,fwd_iat.tot,0.9997188878449852
fwd_iat.tot,flow_duration,0.9997188727108182
flow_iat.max,fwd_iat.max,0.996646764159197
idle.max,fwd_iat.max,0.9963893402128114
idle.avg,idle.max,0.9950693705688458
idle.tot,flow_duration,0.9950230776378531
idle.tot,flow_iat.tot,0.9950228806745768
idle.avg,flow_iat.max,0.9948134928102308
idle.tot,fwd_iat.tot,0.9947152255190342
flow_pkts_payload.tot,bwd_pkts_payload.tot,0.9937042450195728
bwd_data_pkts_tot,bwd_pkts_tot,0.9929555427837121
idle.avg,idle.min,0.9927064150379211
flow_pkts_payload.tot,bwd_data_pkts_tot,0.9924485968696458
idle.avg,fwd_iat.max,0.992227474776108
bwd_pkts_payload.tot,bwd_data_pkts_tot,0.9919606933511559
bwd_header_size_tot,bwd_pkts_tot,0.9852290727558841
payload_bytes_per_second,bwd_pkts_per_sec,0.9842909679522333
payload_bytes_per_second,flow_pkts_per_sec,0.9842894148173581
payload_bytes_per_second,fwd_pkts_per_sec,0.9842810768292132
flow_pkts_payload.tot,bwd_pkts_tot,0.9830721416355842
flow_iat.std,flow_iat.max,0.9814539960581704
idle.max,flow_iat.std,0.9812007720994302
flow_iat.std,fwd_iat.max,0.9803880528930682
idle.avg,flow_iat.std,0.9800426929220436
idle.max,idle.min,0.9779742287226907
idle.min,flow_iat.max,0.977717971073914
bwd_header_size_tot,bwd_data_pkts_tot,0.9771997471193303
flow_ACK_flag_count,bwd_header_size_tot,0.9767836704834759
fwd_bulk_packets,fwd_bulk_bytes,0.9766164476055659
bwd_subflow_bytes,bwd_subflow_pkts,0.9763060000478585
idle.min,fwd_iat.max,0.9757966134016313
